month,method,component,contribution,active_exposure
2020-04-30,benchmark_relative_constrained,factor:MKT_RF,0.006570960984286763,-0.14999999860781155
2020-04-30,benchmark_relative_constrained,factor:SMB,-0.0010618104767017226,0.14696401513934168
2020-04-30,benchmark_relative_constrained,factor:HML,-0.0007076251834376904,-0.1324083875562838
2020-04-30,benchmark_relative_constrained,factor:RMW,0.0006369492651740075,-0.06251091838053911
2020-04-30,benchmark_relative_constrained,factor:CMA,6.390999270211647e-05,0.004181195692837515
2020-04-30,benchmark_relative_constrained,factor:MOM,0.006381734770589549,-0.1499999990988566
2020-04-30,benchmark_relative_constrained,specific,0.008481380674992305,
2020-04-30,benchmark_relative_constrained,transaction_cost,-0.00010332219931535152,
2020-04-30,benchmark_relative_constrained,active_net_return,0.020262177828289978,
2020-04-30,exact_cardinality_cvar,factor:MKT_RF,0.011117943711652166,-0.25379720641433234
2020-04-30,exact_cardinality_cvar,factor:SMB,-0.0003565839829922895,0.049354395181435834
2020-04-30,exact_cardinality_cvar,factor:HML,-0.0013577652022749157,-0.2540603490676693
2020-04-30,exact_cardinality_cvar,factor:RMW,-0.0002702214693176053,0.02651983939186668
2020-04-30,exact_cardinality_cvar,factor:CMA,-0.0012508539730687683,-0.08183485904842898
2020-04-30,exact_cardinality_cvar,factor:MOM,0.00638796001202312,-0.15014632078770668
2020-04-30,exact_cardinality_cvar,specific,0.015176809959843203,
2020-04-30,exact_cardinality_cvar,transaction_cost,-9.27008050874118e-06,
2020-04-30,exact_cardinality_cvar,active_net_return,0.02943801897535617,
2020-04-30,130_30_mathematical_appendix,factor:MKT_RF,0.008704035605612599,-0.19869320969129867
2020-04-30,130_30_mathematical_appendix,factor:SMB,-0.0023343665094761224,0.3230970898922422
2020-04-30,130_30_mathematical_appendix,factor:HML,-0.0010629583973029628,-0.1988971149140712
2020-04-30,130_30_mathematical_appendix,factor:RMW,-0.00023816511585719383,0.023373792753137834
2020-04-30,130_30_mathematical_appendix,factor:CMA,-7.959997045308963e-05,-0.005207684112244154
2020-04-30,130_30_mathematical_appendix,factor:MOM,0.0090146698706086,-0.21188603429579111
2020-04-30,130_30_mathematical_appendix,specific,0.010455991649742931,
2020-04-30,130_30_mathematical_appendix,transaction_cost,-0.00035755464886605436,
2020-04-30,130_30_mathematical_appendix,active_net_return,0.024102052484008707,
2020-05-31,equal_weight,factor:MKT_RF,0.0,0.0
2020-05-31,equal_weight,factor:SMB,-0.0,0.0
2020-05-31,equal_weight,factor:HML,0.0,0.0
2020-05-31,equal_weight,factor:RMW,-0.0,0.0
2020-05-31,equal_weight,factor:CMA,0.0,0.0
2020-05-31,equal_weight,factor:MOM,-0.0,0.0
2020-05-31,equal_weight,specific,0.0,
2020-05-31,equal_weight,transaction_cost,-1.7002403132708843e-05,
2020-05-31,equal_weight,active_net_return,-1.7002403132708843e-05,
2020-05-31,global_minimum_variance,factor:MKT_RF,-0.0064815646392585025,-0.2740551203673167
2020-05-31,global_minimum_variance,factor:SMB,4.152638104965787e-05,-0.002773847630352563
2020-05-31,global_minimum_variance,factor:HML,-0.010815186225516202,-0.17969466456164113
2020-05-31,global_minimum_variance,factor:RMW,0.0002943695845428032,-0.024407818675334675
2020-05-31,global_minimum_variance,factor:CMA,-0.0030096091104744992,-0.21919293834953532
2020-05-31,global_minimum_variance,factor:MOM,0.0022886341265872935,-0.12485497407245165
2020-05-31,global_minimum_variance,specific,0.023702022445928707,
2020-05-31,global_minimum_variance,transaction_cost,-1.599612731413791e-05,
